BSunitId	name	NIunitName
101	Halden	Sentrale Østlandet
104	Moss	Sentrale Østlandet
105	Sarpsborg	Sentrale Østlandet
106	Fredrikstad	Sentrale Østlandet
111	Hvaler	Sentrale Østlandet
122	Trøgstad	Sentrale Østlandet
123	Spydeberg	Sentrale Østlandet
124	Askim	Sentrale Østlandet
125	Eidsberg	Sentrale Østlandet
127	Skiptvet	Sentrale Østlandet
128	Rakkestad	Sentrale Østlandet
135	Råde	Sentrale Østlandet
136	Rygge	Sentrale Østlandet
137	Våler (Østfold)	Sentrale Østlandet
138	Hobøl	Sentrale Østlandet
211	Vestby	Sentrale Østlandet
213	Ski	Sentrale Østlandet
214	Ås	Sentrale Østlandet
215	Frogn	Sentrale Østlandet
216	Nesodden	Sentrale Østlandet
217	Oppegård	Sentrale Østlandet
219	Bærum	Sentrale Østlandet
220	Asker	Sentrale Østlandet
221	Aurskog-Høland	Sentrale Østlandet
226	Sørum	Sentrale Østlandet
227	Fet	Sentrale Østlandet
228	Rælingen	Sentrale Østlandet
229	Enebakk	Sentrale Østlandet
230	Lørenskog	Sentrale Østlandet
231	Skedsmo	Sentrale Østlandet
233	Nittedal	Sentrale Østlandet
234	Gjerdrum	Sentrale Østlandet
235	Ullensaker	Sentrale Østlandet
236	Nes (Akershus)	Sentrale Østlandet
237	Eidsvoll	Sentrale Østlandet
238	Nannestad	Sentrale Østlandet
239	Hurdal	Sentrale Østlandet
301	Oslo	Sentrale Østlandet
402	Kongsvinger	Sentrale Østlandet
403	Hamar	Sentrale Østlandet
412	Ringsaker	Sentrale Østlandet
415	Løten	Sentrale Østlandet
417	Stange	Sentrale Østlandet
501	Lillehammer	Sentrale Østlandet
502	Gjøvik	Sentrale Østlandet
528	Østre Toten	Sentrale Østlandet
532	Jevnaker	Sentrale Østlandet
533	Lunner	Sentrale Østlandet
602	Drammen	Sentrale Østlandet
604	Kongsberg	Sentrale Østlandet
605	Ringerike	Sentrale Østlandet
612	Hole	Sentrale Østlandet
625	Nedre Eiker	Sentrale Østlandet
626	Lier	Sentrale Østlandet
627	Røyken	Sentrale Østlandet
628	Hurum	Sentrale Østlandet
701	Horten	Sentrale Østlandet
702	Holmestrand	Sentrale Østlandet
704	Tønsberg	Sentrale Østlandet
706	Sandefjord	Sentrale Østlandet
709	Larvik	Sentrale Østlandet
711	Svelvik	Sentrale Østlandet
713	Sande (V.)	Sentrale Østlandet
714	Hof	Sentrale Østlandet
716	Re	Sentrale Østlandet
719	Andebu	Sentrale Østlandet
720	Stokke	Sentrale Østlandet
722	Nøtterøy	Sentrale Østlandet
723	Tjøme	Sentrale Østlandet
728	Lardal	Sentrale Østlandet
901	Risør	Agder
904	Grimstad	Agder
906	Arendal	Agder
911	Gjerstad	Agder
912	Vegårshei	Agder
914	Tvedestrand	Agder
919	Froland	Agder
926	Lillesand	Agder
928	Birkenes	Agder
929	Åmli	Agder
935	Iveland	Agder
937	Evje og Hornnes	Agder
938	Bygland	Agder
940	Valle	Agder
941	Bykle	Agder
1001	Kristiansand	Agder
1002	Mandal	Agder
1003	Farsund	Agder
1004	Flekkefjord	Agder
1014	Vennesla	Agder
1017	Songdalen	Agder
1018	Søgne	Agder
1021	Marnardal	Agder
1026	Åseral	Agder
1027	Audnedal	Agder
1029	Lindesnes	Agder
1032	Lyngdal	Agder
1034	Hægebostad	Agder
1037	Kvinesdal	Agder
1046	Sirdal	Agder
1502	Molde	Møre og Romsdal
1504	Ålesund	Møre og Romsdal
1505	Kristiansund	Møre og Romsdal
1511	Vanylven	Møre og Romsdal
1514	Sande (M.R.)	Møre og Romsdal
1515	Herøy (M.R.)	Møre og Romsdal
1516	Ulstein	Møre og Romsdal
1517	Hareid	Møre og Romsdal
1519	Volda	Møre og Romsdal
1520	Ørsta	Møre og Romsdal
1523	Ørskog	Møre og Romsdal
1524	Norddal	Møre og Romsdal
1525	Stranda	Møre og Romsdal
1526	Stordal	Møre og Romsdal
1528	Sykkylven	Møre og Romsdal
1529	Skodje	Møre og Romsdal
1531	Sula	Møre og Romsdal
1532	Giske	Møre og Romsdal
1534	Haram	Møre og Romsdal
1535	Vestnes	Møre og Romsdal
1539	Rauma	Møre og Romsdal
1543	Nesset	Møre og Romsdal
1545	Midsund	Møre og Romsdal
1546	Sandøy	Møre og Romsdal
1547	Aukra	Møre og Romsdal
1548	Fræna	Møre og Romsdal
1551	Eide	Møre og Romsdal
1554	Averøy	Møre og Romsdal
1557	Gjemnes	Møre og Romsdal
1560	Tingvoll	Møre og Romsdal
1563	Sunndal	Møre og Romsdal
1566	Surnadal	Møre og Romsdal
1567	Rindal	Møre og Romsdal
1571	Halsa	Møre og Romsdal
1573	Smøla	Møre og Romsdal
1576	Aure	Møre og Romsdal
1601	Trondheim	Trondheimsfjord-området
1612	Hemne	Trondheimsfjord-området
1621	Ørland	Trondheimsfjord-området
1622	Agdenes	Trondheimsfjord-området
1624	Rissa	Trondheimsfjord-området
1638	Orkdal	Trondheimsfjord-området
1653	Melhus	Trondheimsfjord-området
1657	Skaun	Trondheimsfjord-området
1663	Malvik	Trondheimsfjord-området
1702	Steinkjer	Trondheimsfjord-området
1714	Stjørdal	Trondheimsfjord-området
1717	Frosta	Trondheimsfjord-området
